date,height,status,type,in_tx_count,out_tx_count,pools,first_in_tx_id,first_out_tx_id,in_asset,in_amount,in_address,out_asset,out_amount,out_address,swap_liquidity_fee,swap_slip_bps,swap_target_asset,swap_network_fee_asset,swap_network_fee_amount,transaction_id
1747519643755186366,11199036,success,swap,1,1,"ETH.ETH,THOR.RUNE",DFD59A47FC1B2C892F0240CAEE8D1B2C54555207CD9A6D2AD9B09E0B30876C75,08E81A65F3C9A698468AB1B1376F16846D7EBF103BED392097A55EB99BBC4E19,ETH.ETH,100000,0x4e7e3686fc104a208bd71f764de30dddf4468aff,THOR.RUNE,144950476,thor1h2yek25x6n37yrc7r2aqnyxv46tszeejn509en,386904,10,140478368,THOR.RUNE,2587000,DFD59A47FC1B2C892F0240CAEE8D1B2C54555207CD9A6D2AD9B09E0B30876C75
1747519643755186366,11199036,success,swap,1,1,"THOR.RUNE,ETH.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48",96F28FEECEEAB028A56F472C8D51E25F2CDD48AABDD1493F974FD5CAB34B4111,,THOR.RUNE,14603473053,thor17hwqt302e5f2xm4h95ma8wuggqkvfzgvsnh5z9,ETH/USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,24431860600,maya176820wmjp536wtsddxn4y52ghp3w23k747hard,11323544223,20,24405673001,ETH/USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,4183000,96F28FEECEEAB028A56F472C8D51E25F2CDD48AABDD1493F974FD5CAB34B4111
1747519620663265613,11199032,success,swap,1,1,"THOR.RUNE,ETH.USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7",370DC605624C1702094B1AF95A5AA7A46CF7E794C99DBBAC20764A3624BC7992,,THOR.RUNE,17650000000,thor17hwqt302e5f2xm4h95ma8wuggqkvfzgvsnh5z9,ETH/USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,29528748600,maya176820wmjp536wtsddxn4y52ghp3w23k747hard,18993483554,23,29482353055,ETH/USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,4183500,370DC605624C1702094B1AF95A5AA7A46CF7E794C99DBBAC20764A3624BC7992
1747519603592135795,11199029,success,swap,1,1,"THOR.RUNE,ETH.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48",30234A052269E7B428E2AC17912A70595AB0653C5399A1D2E9C28A6509A0AA06,,THOR.RUNE,24105236385,thor17hwqt302e5f2xm4h95ma8wuggqkvfzgvsnh5z9,ETH/USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,40363063500,maya176820wmjp536wtsddxn4y52ghp3w23k747hard,30890653111,26,40309369751,ETH/USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,4186600,30234A052269E7B428E2AC17912A70595AB0653C5399A1D2E9C28A6509A0AA06
1747517363291091633,11198634,success,swap,1,1,"THOR.RUNE,ETH.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48",6F62550494E80496ED61B2C946A057379DACB22B50D2A2CABD78A30970225615,,THOR.RUNE,16490000000,thor17hwqt302e5f2xm4h95ma8wuggqkvfzgvsnh5z9,ETH/USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,27672096300,maya176820wmjp536wtsddxn4y52ghp3w23k747hard,14490047099,21,27642629263,ETH/USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,4192500,6F62550494E80496ED61B2C946A057379DACB22B50D2A2CABD78A30970225615
1747516700159954420,11198517,success,swap,1,1,"THOR.RUNE,ETH.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48",E33D325DF85E9834BB87A7AF08482C23A80E42C88EC4B2C0EDC72A20402E7E4C,,THOR.RUNE,16460000000,thor17hwqt302e5f2xm4h95ma8wuggqkvfzgvsnh5z9,ETH/USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,27655562200,maya176820wmjp536wtsddxn4y52ghp3w23k747hard,14456870615,21,27625265878,ETH/USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,4196600,E33D325DF85E9834BB87A7AF08482C23A80E42C88EC4B2C0EDC72A20402E7E4C
1747516343076008273,11198454,success,swap,1,1,"THOR.RUNE,ETH.ETH",AC7E442B845CBB01214EAEDB3483BA460489D4E786CDB8B38AE0858B5810F6D7,605BFBB0F7EA328B32696BAF5C7197A1EAF3A9AF5F1EBF629B676348A178A092,THOR.RUNE,83979042296,thor17hwqt302e5f2xm4h95ma8wuggqkvfzgvsnh5z9,ETH.ETH,56754366,0x7f2cabce04f012df9ed86b6522a3903b6a66d86d,125312447876,28,56732119,ETH.ETH,129360,AC7E442B845CBB01214EAEDB3483BA460489D4E786CDB8B38AE0858B5810F6D7
1747515768859160681,11198353,success,swap,1,1,"THOR.RUNE,ETH.ETH",A9E771A4EE006C5F09EB7E7DBB6C7F0C4B4CB7446B19AC91A9436743CAF971A5,674A070F9683623D63D66C55E2923F51A8ABBC4577791ACFC9698946C22BB2EF,THOR.RUNE,83978659347,thor17hwqt302e5f2xm4h95ma8wuggqkvfzgvsnh5z9,ETH.ETH,56952048,0x7f2cabce04f012df9ed86b6522a3903b6a66d86d,125651336343,28,56922194,ETH.ETH,129370,A9E771A4EE006C5F09EB7E7DBB6C7F0C4B4CB7446B19AC91A9436743CAF971A5
1747515643765370155,11198331,success,swap,1,1,"ETH.USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,ETH.ETH",9B40D5B23929D0840868DCDAE9D43FF68BC6D0C2E3158E2FDF40A57E2128BF00,,ETH/USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,2999920000,maya176820wmjp536wtsddxn4y52ghp3w23k747hard,ETH/ETH,1212902,maya176820wmjp536wtsddxn4y52ghp3w23k747hard,212113915,11,1205458,ETH/ETH,1698,9B40D5B23929D0840868DCDAE9D43FF68BC6D0C2E3158E2FDF40A57E2128BF00
1747515398829163281,11198288,success,swap,1,1,"ETH.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7",13ED5E83519E69456EC3543E43B663CADF97B21EE5CFD4B770D782C27DD34244,,ETH/USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,30000000000,maya1kkp8c0zca889hpechxzz36mmk5sjm5ja3lu4k2,ETH/USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,30083644900,maya1kkp8c0zca889hpechxzz36mmk5sjm5ja3lu4k2,8206393696,16,0,ETH/USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,4188000,13ED5E83519E69456EC3543E43B663CADF97B21EE5CFD4B770D782C27DD34244
1747515375755852183,11198284,success,swap,1,1,"ETH.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7",7EBE8A14ABD24AB0BC3CD3BF897D1829E9726FCCA99B450F8EC294EA17A7BC3F,,ETH/USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,30000000000,maya1kkp8c0zca889hpechxzz36mmk5sjm5ja3lu4k2,ETH/USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,30124038800,maya1kkp8c0zca889hpechxzz36mmk5sjm5ja3lu4k2,8216873736,16,0,ETH/USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,4190600,7EBE8A14ABD24AB0BC3CD3BF897D1829E9726FCCA99B450F8EC294EA17A7BC3F
1747515358433751831,11198281,success,swap,1,1,"ETH.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,THOR.RUNE",1291A7E6B96C8AA591321488A5BBBDC0ADBF36163B1775558D253AC4A189617A,D1DD2F6965CC589D1984C76CE4850E7E32FB60F3554A5D53E6D0B085ECE13A01,ETH.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,200000000000,0xd1f7112354055160d58fa1b1e7cfd15c0bfee464,THOR.RUNE,118917933758,thor1qvlul0ujfrq27ja7uxrp8r7my9juegz0ug3nsg,50613174338,16,0,THOR.RUNE,2587200,1291A7E6B96C8AA591321488A5BBBDC0ADBF36163B1775558D253AC4A189617A
1747515352741080248,11198280,success,swap,1,1,"BTC.BTC,ETH.ETH",8FFFB30A2C471B34038AB8EC9ABD8DC10E64C6CEFD655DA22AD77329390742F5,,BTC/BTC,209744,maya1dmgdpkqngg3amua5hffjcharngzdp4wv3jrwyq,ETH/ETH,8742223,maya1dmgdpkqngg3amua5hffjcharngzdp4wv3jrwyq,2490211958,13,8303433,ETH/ETH,1694,8FFFB30A2C471B34038AB8EC9ABD8DC10E64C6CEFD655DA22AD77329390742F5
1747515301072530919,11198271,success,swap,1,1,"BTC.BTC,ETH.ETH",3D05B1B352E7253B73373DE1FAE85F45C0995ACCA442108AD9A35FD1FC4B42C3,,BTC/BTC,963641,maya1dmgdpkqngg3amua5hffjcharngzdp4wv3jrwyq,ETH/ETH,40129671,maya1dmgdpkqngg3amua5hffjcharngzdp4wv3jrwyq,52531024314,21,38157759,ETH/ETH,1694,3D05B1B352E7253B73373DE1FAE85F45C0995ACCA442108AD9A35FD1FC4B42C3
1747515301072530919,11198271,success,swap,1,1,"ETH.USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,THOR.RUNE",DD89BE4C7E961967CFA542CEDEA11DD258F2D84A500689A9CA4DA1E1639BF8B8,C5EB1A6E849C64986445DE3EF120C27C37A6A10922683E335A89FAF8486E7DA1,ETH/USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,30761809999,maya176820wmjp536wtsddxn4y52ghp3w23k747hard,THOR.RUNE,18189212662,thor17hwqt302e5f2xm4h95ma8wuggqkvfzgvsnh5z9,20430041315,24,18174224526,THOR.RUNE,2587400,DD89BE4C7E961967CFA542CEDEA11DD258F2D84A500689A9CA4DA1E1639BF8B8
1747515295207395253,11198270,success,swap,1,1,"BTC.BTC,ETH.ETH",8E52008C470BD59A6D42FDA0C56395E90FAD37DA29AECA3E83026A80EC3CF4D4,,BTC/BTC,964296,maya17f9d0w3y2j9a6s83vz0xfssdmdwe5yzkk3j9kk,ETH/ETH,40201382,maya17f9d0w3y2j9a6s83vz0xfssdmdwe5yzkk3j9kk,52660136927,21,38183599,ETH/ETH,1696,8E52008C470BD59A6D42FDA0C56395E90FAD37DA29AECA3E83026A80EC3CF4D4
1747515289463714220,11198269,success,swap,1,1,"ETH.USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,THOR.RUNE",EA2C866508020B6565144ED68D378973B070FB32FBC4FCAD8BBF8085011955EC,D2C67B2ACF3C8F4D561E2AF5D7B36530702C4842C49767A3584E9612BBD1FD83,ETH/USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,22766381115,maya176820wmjp536wtsddxn4y52ghp3w23k747hard,THOR.RUNE,13483479247,thor17hwqt302e5f2xm4h95ma8wuggqkvfzgvsnh5z9,11206040193,20,13472626651,THOR.RUNE,2587400,EA2C866508020B6565144ED68D378973B070FB32FBC4FCAD8BBF8085011955EC
1747515283965735791,11198268,success,swap,1,1,"ETH.USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,ETH.ETH",5A989D8A3DCF1977BC04FDB4755317B50F092DDF33F68B1CA0B7EAC13739DFFE,D3E22567282A1B148A2FD4AF7DDA2FD1A63DDEF383DB74B607AE9ACAF4EEEA03,ETH/USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,76017529821,maya176820wmjp536wtsddxn4y52ghp3w23k747hard,ETH.ETH,30502758,0x7f2cabce04f012df9ed86b6522a3903b6a66d86d,135921512441,48,30475943,ETH.ETH,129390,5A989D8A3DCF1977BC04FDB4755317B50F092DDF33F68B1CA0B7EAC13739DFFE
1747515272714796905,11198266,success,swap,1,1,"ETH.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,ETH.USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7",664A1569F8B06F2C2664D77E87C79F10A28952B6781F1DAC2E962D5BD92FE628,,ETH/USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,30000000000,maya1kkp8c0zca889hpechxzz36mmk5sjm5ja3lu4k2,ETH/USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,30145376500,maya1kkp8c0zca889hpechxzz36mmk5sjm5ja3lu4k2,8226514415,16,0,ETH/USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,4198300,664A1569F8B06F2C2664D77E87C79F10A28952B6781F1DAC2E962D5BD92FE628
1747515187193217250,11198251,success,swap,1,1,"BTC.BTC,ETH.ETH",DF9DB52472683DE44DA42EF874EA5BF129AB3CDD1486A350CA6555DE83712B0C,,BTC/BTC,960756,maya1dmgdpkqngg3amua5hffjcharngzdp4wv3jrwyq,ETH/ETH,40118196,maya1dmgdpkqngg3amua5hffjcharngzdp4wv3jrwyq,52343225314,21,38146737,ETH/ETH,1698,DF9DB52472683DE44DA42EF874EA5BF129AB3CDD1486A350CA6555DE83712B0C
1747515181538079261,11198250,success,swap,1,1,"BTC.BTC,ETH.ETH",175044C02FE5E64E499407793FD4CD816FE27724232E3805465ECBE5EE38980E,,BTC/BTC,960756,maya17f9d0w3y2j9a6s83vz0xfssdmdwe5yzkk3j9kk,ETH/ETH,40162570,maya17f9d0w3y2j9a6s83vz0xfssdmdwe5yzkk3j9kk,52400741140,21,38146737,ETH/ETH,1699,175044C02FE5E64E499407793FD4CD816FE27724232E3805465ECBE5EE38980E
